q_id	genome_org	taxo1	taxo2	taxonomy	Hit	Hit_name	LAMPA_exclusive	LAMPA_iterat_type	LAMPA_q_from	LAMPA_q_to	LAMPA_h_from	LAMPA_h_to	LAMPA_TemplateHMM	LAMPA_Prob	LAMPA_E_value	PROT_q_from	PROT_q_to	PROT_h_from	PROT_h_to	PROT_TemplateHMM	PROT_Prob	PROT_E_value	DOM_q_from	DOM_q_to	DOM_h_from	DOM_h_to	DOM_TemplateHMM	DOM_Prob	DOM_E_value	target length	target Neff	query length #1	probability #1	pvalue #1	score #1	SS score #1	query coordinates #1	target coordinates #1	query length #2	probability #2	pvalue #2	score #2	SS score #2	query coordinates #2	target coordinates #2	Probab2
YP_009337325.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 77	PF01057.16	Parvo_NS1, Parvovirus non-structural protein NS1	0	3	734	1033	839	938	120-244(284)	95.5	0.01	1	2029	839	938	120-244(284)	88.7	0.23	739	1038	839	938	120-244(284)	95.5	0.01	284	10.7	2029	88.7	1.4e-05	44.6	4.8	1-2029	120-244	300	95.5	6.1e-07	43.1	4.8	734-1033	120-244	3	95.92593723562946
YP_009337351.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 65	PF01057.16	Parvo_NS1, Parvovirus non-structural protein NS1	0	2	169	982	351	496	113-244(284)	95.9	0.0016	1	2920	351	496	113-244(284)	93.1	0.019	251	596	351	496	113-244(284)	97	0.00017	284	10.7	2920	93.1	1.2e-06	53.9	2.1	1-2920	113-244	814	95.9	9.5e-08	53.7	2.1	169-982	113-244	2	95.96854163845961
YP_009342325.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wuhan house centipede virus 3	PF01057.16	Parvo_NS1, Parvovirus non-structural protein NS1	0	2	1	1163	919	1054	114-237(284)	95.1	0.0036	1	3700	919	1054	114-237(284)	90.9	0.04	819	1154	919	1054	114-237(284)	96.8	0.00018	284	10.7	3700	90.9	2.4e-06	52.9	1.5	1-3700	114-237	1163	95.1	2.2e-07	53.6	1.5	1-1163	114-237	2	94.85259890755812
NP_612586.1	ssRNA positive-strand viruses	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Comovirinae, Nepovirus, Blackcurrant reversion virus	PF01107.17	MP, Viral movement protein (MP)	0	2	1	1097	794	925	9-144(198)	95.5	0.018	1	1626	794	925	9-144(198)	94.8	0.035	694	1025	794	925	9-144(198)	96.8	0.002	198	7.1	1626	94.8	2.1e-06	52.0	7.5	1-1626	9-144	1097	95.5	1.1e-06	52.0	7.5	1-1097	9-144	2	95.47423923987442
NP_620762.1	ssRNA positive-strand viruses	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Comovirinae, Nepovirus, Tomato ringspot virus	PF01107.17	MP, Viral movement protein (MP)	0	3	901	1315	1081	1200	54-179(198)	95.7	0.0071	1	1882	1067	1200	35-179(198)	92.3	0.12	981	1300	1081	1200	54-179(198)	96.2	0.0037	198	7.1	1882	92.3	7.1e-06	49.0	6.5	1-1882	35-179	415	95.7	4.3e-07	49.2	5.2	901-1315	54-179	3	95.98495705118421
NP_944488.1	ssRNA positive-strand viruses	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Comovirinae, Nepovirus, Raspberry ringspot virus	PF01107.17	MP, Viral movement protein (MP)	0	2	1	599	345	464	54-175(198)	95.7	0.013	1	1106	345	464	54-175(198)	94.7	0.033	245	564	345	464	54-175(198)	96.6	0.0032	198	7.1	1106	94.7	2e-06	50.2	7.0	1-1106	54-175	599	95.7	7.7e-07	49.7	7.0	1-599	54-175	2	95.83553804093656
YP_006347590.1	ssRNA positive-strand viruses	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Comovirinae, Nepovirus, Grapevine deformation virus	PF01107.17	MP, Viral movement protein (MP)	0	2	257	592	369	495	45-179(198)	96.3	0.0012	1	1107	369	503	45-187(198)	94.4	0.011	269	595	369	495	45-179(198)	96.4	0.0011	198	7.1	1107	94.4	6.6e-07	53.5	2.9	1-1107	45-187	336	96.3	7.1e-08	52.6	3.3	257-592	45-179	2	96.44445896471106
YP_009342469.1	ssRNA positive-strand viruses	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Comovirinae, Nepovirus, unclassified Nepovirus, Petunia chlorotic mottle virus	PF01107.17	MP, Viral movement protein (MP)	0	3	151	450	285	431	6-153(198)	95.1	0.015	1	1119	285	458	6-173(198)	91.8	0.08	185	531	285	458	6-173(198)	95.4	0.0086	198	7.1	1119	91.8	4.8e-06	47.7	4.4	1-1119	6-173	300	95.1	9.1e-07	45.4	5.0	151-450	6-153	4	95.65113637681712
YP_654556.1	ssRNA positive-strand viruses	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, unassigned Secoviridae, Black raspberry necrosis virus	PF01107.17	MP, Viral movement protein (MP)	0	2	79	508	245	346	82-183(198)	95.5	0.015	1	1733	239	346	76-183(198)	90.8	0.24	145	446	245	346	82-183(198)	96.1	0.0073	198	7.1	1733	90.8	1.4e-05	46.5	6.8	1-1733	76-183	430	95.5	9.2e-07	47.3	6.5	79-508	82-183	2	95.33040850077377
YP_009322132.1	ssRNA positive-strand viruses	Flaviviridae	Hepacivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Hepacivirus, Hepacivirus L	PF01543.16	HCV_capsid, Hepatitis C virus capsid protein	0	2	1	88	18	88	27-114(114)	97.2	0.00051	1	2901	6	88	10-114(114)	93	0.099	1	188	6	88	10-114(114)	96.8	0.0022	114	5.3	2901	93.0	5.9e-06	49.5	6.8	1-2901	10-114	88	97.2	3e-08	44.4	5.9	1-88	27-114	2	97.78125783910218
YP_009325369.1	ssRNA positive-strand viruses	Flaviviridae	Hepacivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Hepacivirus, Guereza hepacivirus	PF01543.16	HCV_capsid, Hepatitis C virus capsid protein	0	2	1	108	19	108	1-114(114)	96.6	0.0025	1	3333	19	108	1-114(114)	89.3	0.31	1	208	19	108	1-114(114)	96	0.0064	114	5.3	3333	89.3	1.9e-05	46.6	6.3	1-3333	1-114	108	96.6	1.5e-07	42.3	5.5	1-108	1-114	2	97.3139264510316
NP_658990.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Aphthovirus, Foot-and-mouth disease virus - type O	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	2	859	1082	969	1073	5-93(97)	97.4	1.1e-05	1	2322	969	1073	5-93(97)	95	0.0022	869	1173	969	1073	5-93(97)	97.1	3.4e-05	97	7.9	2322	95.0	1.3e-07	55.3	-0.3	1-2322	5-93	224	97.4	6.6e-10	54.1	-0.3	859-1082	5-93	2	97.52552452190577
YP_002956072.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Cosavirus, Cosavirus E	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	2	797	1113	916	999	18-93(97)	95.8	0.015	1	2113	916	999	18-93(97)	90.6	0.3	816	1099	916	999	18-93(97)	96	0.013	97	7.9	2113	90.6	1.8e-05	41.2	6.6	1-2113	18-93	317	95.8	9.2e-07	40.0	6.6	797-1113	18-93	2	96.13708285486408
YP_002956074.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Cosavirus, Cosavirus A	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	2	842	1117	921	1004	18-93(97)	96.2	0.011	1	2124	921	1004	18-93(97)	90.6	0.38	821	1104	921	1004	18-93(97)	96.2	0.012	97	7.9	2124	90.6	2.3e-05	40.6	7.3	1-2124	18-93	276	96.2	6.7e-07	40.0	7.3	842-1117	18-93	2	96.34983130270938
YP_002956075.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Cosavirus, Human cosavirus B	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	2	849	1093	907	1011	1-93(97)	95.9	0.018	1	2124	907	1011	1-93(97)	88.9	0.53	807	1111	907	1011	1-93(97)	95.5	0.026	97	7.9	2124	88.9	3.2e-05	39.7	6.8	1-2124	1-93	245	95.9	1e-06	38.4	6.8	849-1093	1-93	2	96.19539679536211
YP_002956076.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Cosavirus, Cosavirus D	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	2	849	1121	919	1007	16-93(97)	96.9	0.0013	1	2126	919	1007	16-93(97)	93.6	0.065	819	1107	919	1007	16-93(97)	96.8	0.0016	97	7.9	2126	93.6	3.9e-06	45.5	6.2	1-2126	16-93	273	96.9	7.9e-08	44.7	6.2	849-1121	16-93	2	97.00710983402743
YP_006543639.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Pasivirus, Pasivirus A1	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	3	685	984	915	976	19-71(97)	95.6	0.0044	1	2133	915	976	19-71(97)	87.1	0.19	815	1076	915	976	19-71(97)	95.6	0.0044	97	7.9	2133	87.1	1.2e-05	42.5	2.9	1-2133	19-71	300	95.6	2.7e-07	42.5	2.9	685-984	19-71	3	95.54335857105448
YP_007974220.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Megrivirus, Turkey hepatitis virus 2993D	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	3	1218	1661	1454	1539	16-86(97)	95.8	0.0019	1	2813	1454	1539	16-86(97)	91.1	0.045	1354	1639	1454	1539	16-86(97)	96.2	0.0011	97	7.9	2813	91.1	2.7e-06	47.8	1.9	1-2813	16-86	444	95.8	1.2e-07	46.6	1.9	1218-1661	16-86	4	96.11332816022454
YP_009021444.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Megrivirus, unclassified Megrivirus, Chicken megrivirus	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	2	771	1606	1386	1471	16-86(97)	95.2	0.0039	1	2745	1386	1471	16-86(97)	91.4	0.039	1286	1571	1386	1471	16-86(97)	96.1	0.0012	97	7.9	2745	91.4	2.3e-06	48.1	1.8	1-2745	16-86	836	95.2	2.3e-07	48.3	1.8	771-1606	16-86	2	95.10309471792915
YP_009021445.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Megrivirus, Melegrivirus A	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	3	1222	1664	1457	1542	16-86(97)	95.3	0.0038	1	2816	1457	1542	16-86(97)	89.3	0.081	1357	1642	1457	1542	16-86(97)	95.8	0.0022	97	7.9	2816	89.3	4.8e-06	46.1	2.0	1-2816	16-86	443	95.3	2.2e-07	45.0	2.0	1222-1664	16-86	4	95.69156604301475
YP_009021568.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Sicinivirus, Sicinivirus A	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	2	1002	1801	1551	1683	4-97(97)	96.6	0.0023	1	2864	1551	1668	4-96(97)	94.9	0.014	1451	1783	1551	1683	4-97(97)	97.5	0.00014	97	7.9	2864	94.9	8.1e-07	51.3	4.6	1-2864	4-96	800	96.6	1.3e-07	49.5	6.2	1002-1801	4-97	2	96.62581692993216
YP_009026376.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Cosavirus, unclassified Cosavirus, Human cosavirus	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	2	844	1116	914	1002	16-93(97)	96.6	0.0028	1	2121	914	1002	16-93(97)	92.4	0.12	814	1102	914	1002	16-93(97)	96.5	0.0033	97	7.9	2121	92.4	7.2e-06	43.8	6.1	1-2121	16-93	273	96.6	1.7e-07	43.1	6.1	844-1116	16-93	2	96.73875435447907
YP_009026377.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Aalivirus, Duck aalivirus 1	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	2	1302	1681	1413	1480	16-76(97)	96.7	0.002	1	2680	1413	1480	16-76(97)	93.6	0.058	1313	1580	1413	1480	16-76(97)	96.9	0.0013	97	7.9	2680	93.6	3.5e-06	46.8	5.9	1-2680	16-76	380	96.7	1.2e-07	45.6	5.9	1302-1681	16-76	2	96.84762249735755
YP_009026384.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Mosavirus, Mosavirus A2	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	2	1221	1401	1315	1400	16-93(97)	97.6	8.5e-06	1	2550	1315	1400	4-93(97)	94.9	0.0048	1215	1500	1315	1407	16-97(97)	97.4	2.9e-05	97	7.9	2550	94.9	2.9e-07	53.7	1.8	1-2550	4-93	181	97.6	5.1e-10	53.1	1.6	1221-1401	16-93	2	97.70658212576318
YP_009030047.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Megrivirus, unclassified Megrivirus, Duck megrivirus	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	3	1254	1684	1478	1559	18-84(97)	95.6	0.0024	1	2839	1478	1562	18-87(97)	89.6	0.079	1378	1659	1478	1559	18-84(97)	96.2	0.001	97	7.9	2839	89.6	4.7e-06	46.2	2.2	1-2839	18-87	431	95.6	1.4e-07	45.9	1.8	1254-1684	18-84	4	95.82408180688125
YP_009054898.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Chicken picornavirus 1	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	2	782	1267	1118	1250	4-97(97)	96.6	0.0012	1	2431	1118	1232	4-93(97)	93.4	0.031	1018	1350	1118	1250	4-97(97)	97.1	0.00025	97	7.9	2431	93.4	1.9e-06	48.1	3.9	1-2431	4-93	486	96.6	7.1e-08	48.3	4.2	782-1267	4-97	2	96.48035565953234
YP_009054899.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Avisivirus, Chicken picornavirus 2	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	2	893	1285	1049	1108	15-72(97)	96.6	0.0015	1	2207	1049	1108	15-72(97)	93.8	0.039	949	1208	1049	1108	15-72(97)	97	0.00053	97	7.9	2207	93.8	2.3e-06	47.1	5.0	1-2207	15-72	393	96.6	9.1e-08	46.5	5.0	893-1285	15-72	2	96.72329118613169
YP_009054900.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Avisivirus, Chicken picornavirus 3	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	2	814	1172	966	1024	16-72(97)	95.3	0.0083	1	2146	966	1024	16-72(97)	89.5	0.14	866	1124	966	1024	16-72(97)	96	0.0032	97	7.9	2146	89.5	8.5e-06	43.4	3.7	1-2146	16-72	359	95.3	4.9e-07	42.1	3.7	814-1172	16-72	3	95.75433164078827
YP_009054901.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Chicken picornavirus 4	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	2	776	1592	1385	1470	16-86(97)	95.2	0.0042	1	2744	1385	1470	16-86(97)	91.4	0.042	1285	1570	1385	1470	16-86(97)	96.2	0.0012	97	7.9	2744	91.4	2.5e-06	47.9	2.1	1-2744	16-86	817	95.2	2.5e-07	48.0	2.1	776-1592	16-86	2	95.18560186981847
YP_009054902.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Chicken picornavirus 5	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	3	1171	1596	1389	1474	16-86(97)	95.8	0.0021	1	2748	1389	1474	16-86(97)	91.5	0.042	1289	1574	1389	1474	16-86(97)	96.1	0.0012	97	7.9	2748	91.5	2.5e-06	47.9	2.1	1-2748	16-86	426	95.8	1.2e-07	46.2	2.1	1171-1596	16-86	4	96.23764664803169
YP_009104360.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Crohivirus A	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	2	662	1127	919	1013	16-89(97)	96.3	0.0065	1	2170	919	1013	16-89(97)	93.4	0.096	819	1113	919	1013	16-89(97)	96.6	0.0041	97	7.9	2170	93.4	5.7e-06	44.5	6.8	1-2170	16-89	466	96.3	3.9e-07	44.0	6.8	662-1127	16-89	2	96.39558555833104
YP_009112712.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Cosavirus, unclassified Cosavirus, Cosavirus JMY-2014	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	2	844	1073	917	1005	16-93(97)	95.8	0.0071	1	2119	917	1005	16-93(97)	86.6	0.41	817	1105	917	1005	16-93(97)	95.4	0.012	97	7.9	2119	86.6	2.4e-05	40.4	4.7	1-2119	16-93	230	95.8	4.3e-07	40.1	4.7	844-1073	16-93	2	95.92803766688661
YP_009116874.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Bovine picornavirus	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	2	826	1150	939	994	38-90(97)	95.3	0.007	1	2223	939	994	38-90(97)	90.1	0.1	839	1094	939	994	38-90(97)	95.8	0.0037	97	7.9	2223	90.1	6.2e-06	44.4	3.3	1-2223	38-90	325	95.3	4.2e-07	41.9	3.3	826-1150	38-90	2	96.07611803647676
YP_009121743.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Mischivirus, African bat icavirus PREDICT-06105	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	2	880	1105	1014	1094	16-88(97)	96.5	0.0025	1	2251	1014	1094	16-88(97)	90.3	0.17	914	1194	1014	1103	16-93(97)	96.1	0.0045	97	7.9	2251	90.3	1e-05	43.0	4.9	1-2251	16-88	226	96.5	1.5e-07	42.3	4.9	880-1105	16-88	2	96.59649802918274
YP_009179351.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Sicinivirus, unclassified Sicinivirus, Chicken sicinivirus JSY	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	2	1222	1697	1548	1680	4-97(97)	95.6	0.0062	1	2861	1548	1662	4-93(97)	89.1	0.16	1448	1780	1548	1680	4-97(97)	96.5	0.0015	97	7.9	2861	89.1	9.6e-06	44.3	3.8	1-2861	4-93	476	95.6	3.7e-07	44.2	4.1	1222-1697	4-97	2	95.56526090688904
YP_009345890.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Megrivirus, unclassified Megrivirus, Goose megrivirus	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	3	1448	1817	1611	1695	18-87(97)	96	0.0014	1	2972	1611	1695	18-87(97)	90.5	0.052	1511	1795	1611	1695	18-87(97)	96.3	0.00074	97	7.9	2972	90.5	3.1e-06	47.6	1.8	1-2972	18-87	370	96.0	8.3e-08	46.4	1.8	1448-1817	18-87	4	96.29104345573026
YP_009361319.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Mischivirus, Miniopterus schreibersii picornavirus 1	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	2	888	1261	1030	1123	16-97(97)	96.7	0.0013	1	2281	1030	1123	16-97(97)	93.6	0.044	930	1223	1030	1123	16-97(97)	96.9	0.00079	97	7.9	2281	93.6	2.6e-06	46.9	5.0	1-2281	16-97	374	96.7	8e-08	46.5	5.0	888-1261	16-97	2	96.74102352216417
YP_009361830.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Cosavirus, Cosavirus F	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	2	843	1124	904	1009	1-93(97)	96.7	0.00056	1	2128	904	1009	1-93(97)	92.8	0.035	804	1109	904	1009	1-93(97)	96.6	0.00072	97	7.9	2128	92.8	2.1e-06	47.2	3.1	1-2128	1-93	282	96.7	3.3e-08	46.9	3.1	843-1124	1-93	2	96.77038097353656
YP_009448192.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Passerivirus, unclassified Passerivirus, Passerivirus sp.	PF01552.16	Pico_P2B, Picornavirus 2B protein	0	2	1154	1540	1409	1513	6-96(97)	97.1	0.00027	1	2668	1409	1513	6-96(97)	94.5	0.016	1309	1613	1409	1513	6-96(97)	97.2	0.00016	97	7.9	2668	94.5	9.3e-07	50.6	4.1	1-2668	6-96	387	97.1	1.6e-08	50.4	4.1	1154-1540	6-96	2	97.09805582017798
NP_612601.1	ssRNA positive-strand viruses	Benyviridae	Benyvirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Benyviridae, Benyvirus, Beet soil-borne mosaic virus	PF01660.16	Vmethyltransf, Viral methyltransferase	0	3	301	600	409	585	137-263(313)	95.7	0.0089	1	2117	409	644	137-293(313)	92	0.14	309	685	409	644	137-293(313)	96.1	0.0076	313	8.5	2117	92.0	8.5e-06	50.3	6.9	1-2117	137-293	300	95.7	5.3e-07	47.7	5.7	301-600	137-263	3	96.51754080848757
YP_009272813.1	ssRNA positive-strand viruses	Tymovirales	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, unclassified Tymovirales, Bat tymo-like virus	PF01660.16	Vmethyltransf, Viral methyltransferase	0	2	1	409	4	87	229-313(313)	96.4	0.0015	1	1684	4	87	229-313(313)	94	0.021	1	187	4	87	229-313(313)	97.1	0.00021	313	8.5	1684	94.0	1.3e-06	55.1	4.3	1-1684	229-313	409	96.4	9.1e-08	54.3	4.3	1-409	229-313	2	96.51549819907716
YP_009337345.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai tiger crab virus 1	PF01660.16	Vmethyltransf, Viral methyltransferase	0	2	1	1137	53	311	1-263(313)	95.4	0.0064	1	2005	53	311	1-263(313)	94.3	0.017	1	411	53	311	1-263(313)	96.4	0.0015	313	8.5	2005	94.3	1e-06	56.8	4.3	1-2005	1-263	1137	95.4	3.8e-07	56.5	4.3	1-1137	1-263	2	95.45426308517227
YP_009333246.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai hepe-like virus 10	PF01661.20	Macro, Macro domain	0	2	938	1534	1105	1207	2-105(113)	96.1	0.0028	1	2368	1105	1207	2-105(113)	91.4	0.082	1005	1307	1105	1207	2-105(113)	96.9	0.00054	113	10.7	2368	91.4	4.9e-06	42.0	3.7	1-2368	2-105	597	96.1	1.7e-07	43.6	3.7	938-1534	2-105	2	95.62500246773148
YP_009336677.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei virga-like virus 16	PF01661.20	Macro, Macro domain	0	3	1297	1596	1481	1557	35-113(113)	95.5	0.035	1	2971	1481	1557	35-113(113)	85.9	1.1	1381	1657	1481	1557	35-113(113)	95.8	0.024	113	10.7	2971	85.9	6.4e-05	36.1	6.8	1-2971	35-113	300	95.5	2.1e-06	34.7	6.8	1297-1596	35-113	3	95.94354063569084
YP_009337788.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 68	PF01661.20	Macro, Macro domain	0	3	1439	1774	1478	1585	1-113(113)	96	0.0015	1	3291	1478	1585	1-113(113)	86.7	0.15	1378	1685	1478	1585	1-113(113)	96.2	0.0012	113	10.7	3291	86.7	9e-06	41.9	1.9	1-3291	1-113	336	96.0	8.9e-08	41.9	1.9	1439-1774	1-113	4	96.01795245846066
YP_009342326.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wuhan house centipede virus 2	PF01661.20	Macro, Macro domain	0	2	1	533	107	214	2-113(113)	95.3	0.0032	1	3930	107	214	2-113(113)	87	0.12	7	314	107	214	2-113(113)	96.2	0.00093	113	10.7	3930	87.0	6.9e-06	43.4	1.5	1-3930	2-113	533	95.3	1.9e-07	42.7	1.5	1-533	2-113	2	95.56758890749816
YP_009268643.1	ssRNA positive-strand viruses	Nyfulvavirus	unclassified	Viruses, unassigned viruses, Nyfulvavirus, Nylanderia fulva virus 1	PF01695.16	IstB_IS21, IstB-like ATP binding protein	0	2	778	1473	866	956	50-152(179)	95.9	0.0072	1	3614	866	953	50-150(179)	90.9	0.2	766	1056	866	953	50-150(179)	96.8	0.0015	179	12.2	3614	90.9	1.2e-05	42.0	5.8	1-3614	50-150	696	95.9	4.3e-07	42.5	5.4	778-1473	50-152	3	95.89810404726708
NP_043135.1	ssRNA positive-strand viruses	Flaviviridae	Flavivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Flavivirus, tick-borne encephalitis virus group, Tick-borne encephalitis virus	PF01728.18	FtsJ, FtsJ-like methyltransferase	0	2	2505	2762	2566	2733	2-178(183)	97.4	2.5e-05	1	3414	2566	2733	2-178(183)	93.4	0.015	2466	2833	2566	2733	2-178(183)	97.1	8.7e-05	183	11.7	3414	93.4	9.1e-07	50.0	1.8	1-3414	2-178	258	97.4	1.5e-09	50.5	1.8	2505-2762	2-178	2	97.39443177653796
